model,aic,bic,deviance,scale,test_rmse,test_mae,test_r2,test_mape,n_train,n_test
Gamma GLM,93903.67274590739,-30798.343118455225,4857.567978368525,1.4471496549872986,42436.65290736697,26582.874953842856,-0.493328697016308,153.1658830994628,4290,809
Tweedie (p=1.1),991337.7857423939,1072273700.546628,1072348636.816472,504298683.8855638,30407.761863429918,13299.502224017984,-0.23594891835220655,99.98093422094726,8328,2003
