model,auc_roc,avg_precision,f1_score,brier_score,optimal_threshold,cv_auc_mean,cv_auc_std,cv_ap_mean,cv_ap_std
Gradient Boosting,0.8292592989206024,0.6532609252080755,0.5913348946135831,0.17131156734343744,0.5385840674156722,0.8734721786587745,0.01020735304661166,0.6662598735226917,0.016836680815754883
Random Forest,0.8228335239202519,0.642890566859929,0.58698224852071,0.18515548499145051,0.5398025819667495,0.8606317391367316,0.006740176735262425,0.6297077350966253,0.013013615549748904
