y_actual,y_predicted,residual,pearson_residual,abs_pct_error
28044.34,1.1118243236701726,28043.22817567633,1.1843116537460985,99.99603547694946
1735.6585714285716,1.1927658738955043,1734.465805554676,0.07072032085413812,99.93127877259214
0.0,1.040794339585417,-1.040794339585417,-4.5429561348337356e-05,104.07943395854169
85.94,1.0544760080732278,84.88552399192677,0.0036810470206429385,98.77300906670558
0.0,1.0849418524370416,-1.0849418524370416,-4.6383051170332985e-05,108.49418524370415
0.0,1.0288514608827977,-1.0288514608827977,-4.5168162361092255e-05,102.88514608827977
0.0,1.0364167271602562,-1.0364167271602562,-4.533392162295422e-05,103.64167271602562
0.0,1.0698674491485054,-1.0698674491485054,-4.605969626718244e-05,106.98674491485053
0.0,1.0514618684443462,-1.0514618684443462,-4.566178095755144e-05,105.14618684443462
0.0,1.0948127661864138,-1.0948127661864138,-4.6593572329136225e-05,109.48127661864137
0.0,1.064377288173846,-1.064377288173846,-4.5941363665573464e-05,106.4377288173846
0.0,1.041779043744312,-1.041779043744312,-4.545104691005468e-05,104.1779043744312
0.0,1.0648300269046393,-1.0648300269046393,-4.595113333258428e-05,106.48300269046393
0.0,1.0622226972155195,-1.0622226972155195,-4.589484116282074e-05,106.22226972155195
4602.88,1.088865461886225,4601.7911345381135,0.19637937543745804,99.97634382252227
582.62,1.076963533013385,581.5430364669866,0.024953843291286793,99.8151516369137
0.0,1.0418395533734435,-1.0418395533734435,-4.5452366856964015e-05,104.18395533734434
0.0,1.0522859164636642,-1.0522859164636642,-4.567967039883785e-05,105.22859164636643
0.0,1.059872306568229,-1.059872306568229,-4.5844037059538344e-05,105.9872306568229
0.0,1.040486842574969,-1.040486842574969,-4.542284989453643e-05,104.04868425749689
0.0,1.09141236347498,-1.09141236347498,-4.652115806381125e-05,109.141236347498
0.0,1.0547548588051974,-1.0547548588051974,-4.5733227324235307e-05,105.47548588051974
16071.865,1.0311089542576788,16070.833891045742,0.7047615721382084,99.99358438517088
0.0,1.0601185781359317,-1.0601185781359317,-4.5849362902586956e-05,106.01185781359317
41649.23,1.1216777479088418,41648.1083222521,1.7511256551735652,99.9973068463741
0.0,1.0571118846035323,-1.0571118846035323,-4.5784298073895746e-05,105.71118846035323
0.0,1.0780927740020618,-1.0780927740020618,-4.623641468828612e-05,107.80927740020618
0.0,1.0486809315235663,-1.0486809315235663,-4.5601357175512114e-05,104.86809315235664
0.0,1.0553728343690971,-1.0553728343690971,-4.5746622796309985e-05,105.53728343690972
0.0,1.0530582498644347,-1.0530582498644347,-4.5696430798037553e-05,105.30582498644347
0.0,1.0342987993784605,-1.0342987993784605,-4.5287577777326114e-05,103.42987993784605
0.0,1.0494029011157164,-1.0494029011157164,-4.561705171506967e-05,104.94029011157164
46412.46,1.0684197818131238,46411.39158021819,1.9994461534303478,99.99769798932914
30768.25357142857,1.0913794007344761,30767.162192027834,1.3114618069780304,99.99645290429565
0.0,1.0582479758619487,-1.0582479758619487,-4.580889394390121e-05,105.82479758619488
11204.6,1.1304068155831644,11203.469593184418,0.46923590790156966,99.9899112256075
0.0,1.0478995601213335,-1.0478995601213335,-4.558436524065772e-05,104.78995601213335
0.0,1.0997223380632228,-1.0997223380632228,-4.6697927437379916e-05,109.97223380632228
43407.97,1.064480646947228,43406.90551935305,1.8734668965110917,99.99754772995155
30136.11,1.1449511094199831,30134.96504889058,1.2541032796919571,99.9962007335737
0.0,1.1470120510590949,-1.1470120510590949,-4.769140016871408e-05,114.70120510590948
4817.38,1.0214826579852512,4816.358517342015,0.21220684617033875,99.97879588784807
0.0,1.0351424504857447,-1.0351424504857447,-4.530604397260534e-05,103.51424504857447
21225.145,1.1583732786719632,21223.98662672133,0.8781299316315037,99.99454244822039
0.0,1.0384294408557402,-1.0384294408557402,-4.537791934442956e-05,103.84294408557402
0.0,1.041812638460504,-1.041812638460504,-4.5451779744296816e-05,104.1812638460504
0.0,1.0905831135587745,-1.0905831135587745,-4.6503481428341276e-05,109.05831135587745
19679.810833333333,1.0899486363829187,19678.72088469695,0.8393632149217548,99.99446158987192
0.0,1.0493815033688187,-1.0493815033688187,-4.561658663769014e-05,104.93815033688188
24941.2475,1.0789190897229886,24940.16858091028,1.0692051174210828,99.9956741574786
0.0,1.0971175674453715,-1.0971175674453715,-4.664259096870018e-05,109.71175674453715
0.0,1.0230500883725007,-1.0230500883725007,-4.5040637748816006e-05,102.30500883725007
0.0,1.0534563550438716,-1.0534563550438716,-4.57050676738964e-05,105.34563550438716
0.0,1.0784758337060485,-1.0784758337060485,-4.62446281439222e-05,107.84758337060485
0.0,1.090506089951518,-1.090506089951518,-4.650183922010855e-05,109.0506089951518
72280.24,1.0703566487822325,72279.16964335123,3.111035606414661,99.99851915731219
23558.31,1.1226406114901546,23557.18735938851,0.9900545963014329,99.99523463010934
21916.62,1.1903647915808826,21915.429635208417,0.8944705274581457,99.99456866619222
0.0,1.0292333343536666,-1.0292333343536666,-4.5176543999926936e-05,102.92333343536666
0.0,1.0617926498269952,-1.0617926498269952,-4.588554981802926e-05,106.17926498269952
0.0,1.0644530827799483,-1.0644530827799483,-4.594299938516898e-05,106.44530827799483
0.0,1.1410634470062766,-1.1410634470062766,-4.7567571461419615e-05,114.10634470062766
0.0,1.0566837504924684,-1.0566837504924684,-4.5775025732365045e-05,105.66837504924685
0.0,1.0748003476506736,-1.0748003476506736,-4.6165759176645013e-05,107.48003476506736
0.0,1.0292659657160887,-1.0292659657160887,-4.517726014487034e-05,102.92659657160887
