power,aic,deviance,converged
1.1,991337.7857423939,1072348636.816472,True
1.2,,,False
1.3,,,False
1.4,,,False
1.5,141019.01976709836,3321760.367729251,False
1.6,,,False
1.7,105924.6402848858,527274.5976519833,False
1.8,108060.13034087112,292740.6564391359,False
1.9,115914.3507786139,217325.97042916948,False
