gb_fpr,gb_tpr,rf_fpr,rf_tpr
0.0,0.0,0.0,0.0
0.0,0.0014265335235378032,0.0,0.0014265335235378032
0.0,0.04136947218259629,0.0,0.06847360912981455
0.00044682752457551384,0.04136947218259629,0.0008936550491510277,0.06847360912981455
0.00044682752457551384,0.05848787446504993,0.0008936550491510277,0.06990014265335236
0.0013404825737265416,0.05848787446504993,0.0013404825737265416,0.06990014265335236
0.0013404825737265416,0.06419400855920114,0.0013404825737265416,0.07988587731811697
0.0017873100983020554,0.06419400855920114,0.0017873100983020554,0.07988587731811697
0.0017873100983020554,0.06990014265335236,0.0017873100983020554,0.08131241084165478
0.002234137622877569,0.06990014265335236,0.002234137622877569,0.08131241084165478
0.002234137622877569,0.07275320970042796,0.002234137622877569,0.0884450784593438
0.002680965147453083,0.07275320970042796,0.002680965147453083,0.0884450784593438
0.002680965147453083,0.0898716119828816,0.002680965147453083,0.0898716119828816
0.003127792672028597,0.0898716119828816,0.003127792672028597,0.0898716119828816
0.003127792672028597,0.10128388017118402,0.003127792672028597,0.09700427960057062
0.0035746201966041107,0.10128388017118402,0.0035746201966041107,0.09700427960057062
0.0035746201966041107,0.10413694721825963,0.0035746201966041107,0.09985734664764621
0.004021447721179625,0.10413694721825963,0.004468275245755138,0.09985734664764621
0.004021447721179625,0.12410841654778887,0.004468275245755138,0.10841654778887304
0.004468275245755138,0.12410841654778887,0.004915102770330653,0.10841654778887304
0.004468275245755138,0.12838801711840228,0.004915102770330653,0.12125534950071326
0.004915102770330653,0.12838801711840228,0.005361930294906166,0.12125534950071326
0.004915102770330653,0.1355206847360913,0.005361930294906166,0.12268188302425106
0.005361930294906166,0.1355206847360913,0.00580875781948168,0.12268188302425106
0.005361930294906166,0.1369472182596291,0.00580875781948168,0.12696148359486448
0.00580875781948168,0.1369472182596291,0.006702412868632708,0.12696148359486448
0.00580875781948168,0.14978601997146934,0.006702412868632708,0.12838801711840228
0.006255585344057194,0.14978601997146934,0.0071492403932082215,0.12838801711840228
0.006255585344057194,0.15121255349500715,0.0071492403932082215,0.1355206847360913
0.006702412868632708,0.15121255349500715,0.007596067917783735,0.1355206847360913
0.006702412868632708,0.15263908701854492,0.007596067917783735,0.1398002853067047
0.0071492403932082215,0.15263908701854492,0.008489722966934763,0.1398002853067047
0.0071492403932082215,0.16262482168330955,0.008489722966934763,0.14407988587731813
0.007596067917783735,0.16262482168330955,0.008936550491510277,0.14407988587731813
0.007596067917783735,0.17403708987161198,0.008936550491510277,0.14693295292439373
0.00804289544235925,0.17403708987161198,0.00938337801608579,0.14693295292439373
0.00804289544235925,0.18830242510699002,0.00938337801608579,0.14835948644793154
0.008936550491510277,0.18830242510699002,0.009830205540661306,0.14835948644793154
0.008936550491510277,0.20970042796005706,0.009830205540661306,0.15121255349500715
0.00938337801608579,0.20970042796005706,0.010277033065236819,0.15121255349500715
0.00938337801608579,0.21255349500713266,0.010277033065236819,0.15691868758915833
0.010277033065236819,0.21255349500713266,0.010723860589812333,0.15691868758915833
0.010277033065236819,0.21398002853067047,0.010723860589812333,0.15977175463623394
0.010723860589812333,0.21398002853067047,0.011170688114387846,0.15977175463623394
0.010723860589812333,0.2211126961483595,0.011170688114387846,0.16262482168330955
0.011170688114387846,0.2211126961483595,0.01161751563896336,0.16262482168330955
0.011170688114387846,0.2225392296718973,0.01161751563896336,0.17261055634807418
0.01161751563896336,0.2225392296718973,0.012064343163538873,0.17261055634807418
0.01161751563896336,0.2253922967189729,0.012064343163538873,0.1754636233951498
0.012511170688114389,0.2253922967189729,0.012511170688114389,0.1754636233951498
0.012511170688114389,0.2268188302425107,0.012511170688114389,0.18544935805991442
0.012957998212689902,0.2268188302425107,0.012957998212689902,0.18544935805991442
0.012957998212689902,0.23252496433666192,0.012957998212689902,0.18972895863052783
0.013404825737265416,0.23252496433666192,0.01385165326184093,0.18972895863052783
0.013404825737265416,0.23680456490727533,0.01385165326184093,0.19115549215406563
0.014298480786416443,0.23680456490727533,0.014298480786416443,0.19115549215406563
0.014298480786416443,0.2396576319543509,0.014298480786416443,0.20399429386590584
0.014745308310991957,0.2396576319543509,0.014745308310991957,0.20399429386590584
0.014745308310991957,0.24108416547788872,0.014745308310991957,0.2225392296718973
0.01519213583556747,0.24108416547788872,0.01519213583556747,0.2225392296718973
0.01519213583556747,0.24679029957203993,0.01519213583556747,0.23823109843081314
